date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:04:20	322/322	---M--	200	added ('OK')	text/plain	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/robots.txt		(from )
09:04:20	179647/179647	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/index.html	(from )
09:04:21	167014/167014	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/search.html	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/search.html	(from https://www.lelabofragrances.com/)
09:04:21	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/css/images/favicon.ico?pdk=16705	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/css/images/faviconbe91.ico	(from https://www.lelabofragrances.com/)
09:04:22	7473/7473	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/vendor/formstone/dropdown.css?pdk=16705	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/vendor/formstone/dropdownbe91.css	(from https://www.lelabofragrances.com/)
09:04:23	173719/173719	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/register-diffuser/	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/register-diffuser/index.html	(from https://www.lelabofragrances.com/)
09:04:23	3351/3351	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/vendor/owl-carousel/assets/owl.carousel.min.css?pdk=16705	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/vendor/owl-carousel/assets/owl.carousel.minbe91.css	(from https://www.lelabofragrances.com/)
09:04:24	1013/1013	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/vendor/owl-carousel/assets/owl.theme.default.min.css?pdk=16705	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/vendor/owl-carousel/assets/owl.theme.default.minbe91.css	(from https://www.lelabofragrances.com/)
09:04:25	1013/1013	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/vendor/owl-carousel/assets/owl.theme.green.min.css?pdk=16705	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/vendor/owl-carousel/assets/owl.theme.green.minbe91.css	(from https://www.lelabofragrances.com/)
09:04:26	11660/11660	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/vendor/selectize/selectize.css?pdk=16705	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/vendor/selectize/selectizebe91.css	(from https://www.lelabofragrances.com/)
09:04:27	70824/70824	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/vendor/animate.css?pdk=16705	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/vendor/animatebe91.css	(from https://www.lelabofragrances.com/)
09:04:28	32076/32076	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Jul%202023%2019:52:52%20GMT	https://www.lelabofragrances.com/vendor/jquery-ui/jquery-ui.min.css?pdk=16705	/Applications/XAMPP/htdocs%20/lebabo/www.lelabofragrances.com/vendor/jquery-ui/jquery-ui.minbe91.css	(from https://www.lelabofragrances.com/)
